x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,target
8.86112,5.35438,9.94340,152.92954,-112.02937,-2.05981,42.17038,57.82962,28.61910,71.38090,46.47108,33.91399,47.41889,16.30021,61.91884,182.57613,3.50675,36.17175,99.70656,5.89792,40.58966,1.81152,12.36426,2.15674,15.93318,2.12134,78.05554,0.13301,5.81018,84.23241,0.70139,108.80123,5.16439,2.57966,97.48919,52.98272,1.36805,108.24851,2.22830,58.53049,2.28921,2.71773,-0.27287,0
9.10068,5.95904,11.11026,214.18890,-159.04772,1.35228,68.15023,31.84977,48.65760,51.34240,63.63850,48.02323,30.65332,10.31316,71.48897,148.86332,3.14164,23.23990,46.55188,10.45879,28.37166,0.53925,5.35083,0.61000,5.79656,3.22760,70.40362,0.46977,15.25560,67.17005,1.16475,123.04391,7.56658,3.45193,94.15438,52.85218,1.16301,102.21703,0.18115,37.70092,3.07936,4.58442,0.34032,1
18.32202,18.28835,22.72068,2.72280,1.56900,1.56900,22.50143,77.49857,22.00256,77.99744,0.03450,32.04100,48.59925,0.00000,79.58441,248.38301,0.03367,14.35653,84.68111,1.25226,17.80318,2.18212,14.10604,2.63309,507.38601,2.45489,95.98690,0.10264,34.26540,11.71181,0.60486,459.55493,2.78336,0.32846,96.44364,52.30347,0.14499,224.40741,1.48148,48.08660,0.29953,2.55753,1.65314,1
79.14486,78.10221,459.51388,-121.58843,121.91483,10.57697,3.50569,96.49431,99.73669,0.26331,99.99879,17.22361,0.00000,1.80995,0.00000,0.00000,1.04265,97.24416,555.05523,1.90506,564.59815,0.99242,10.93251,1.03499,41.99356,10.54967,56.80756,8.02122,88.13316,49.00816,0.26248,192.22586,11.71630,1.16663,59.36053,11.36189,3.16077,271.80357,3.46429,34.28630,9.10125,18.57089,9.20716,0
9.67948,8.96245,10.95138,223.00682,-218.71326,-0.40655,32.94765,67.05235,11.36174,88.63826,5.95538,17.47977,70.90618,0.63076,53.54616,306.33225,0.71703,45.67817,92.28922,8.19135,51.68035,2.44289,14.24228,3.00523,53.69556,1.95464,143.72316,-0.59464,-69.48838,62.92154,0.13763,142.91271,2.27400,0.31937,135.40828,27.17785,0.27781,249.88889,1.36508,32.28713,0.85573,1.36000,0.36664,1
4.19896,1.83090,4.68101,338.70432,-232.04591,8.82864,50.93223,49.06777,36.71018,63.28982,37.77043,78.96309,9.76685,4.94769,67.97079,86.07920,2.36805,29.28266,57.60782,16.09514,32.64439,-1.01256,-11.72595,-0.86794,-50.81421,2.36708,87.77175,-0.34648,-20.86905,61.56195,0.80617,117.42387,7.33253,4.28919,104.95955,72.09413,0.78460,163.66840,0.00000,47.25842,1.66024,2.69686,0.23045,1
10.52613,3.43319,14.28231,178.12701,-141.75237,-2.58223,75.08014,24.91986,56.33027,43.66973,59.45424,56.65148,6.57948,17.17196,66.75302,117.83104,7.09293,20.90474,40.06853,8.79539,28.36447,-0.33007,-2.82237,-0.27287,-4.05143,3.56262,63.49357,1.00660,31.52592,56.90456,1.36492,132.45419,8.86225,4.25785,89.80027,57.14648,1.23211,81.56432,1.10988,38.06387,3.19291,5.61100,1.05316,1
82.79043,82.04209,536.55461,0.74045,-0.60451,-0.60451,84.46300,15.53700,83.84998,16.15002,97.70355,0.05429,15.37572,60.72440,13.88550,25578.07933,0.74834,84.94422,43449.68116,83.46862,550.51305,0.26251,2.88199,0.34032,3.28529,7.73433,95.07516,0.40063,10.08905,48.81372,0.14699,203.33568,7.79292,0.05859,95.11038,1.45409,1.69241,392.97368,0.31579,42.58519,3.97098,8.13496,4.01699,1
21.98529,15.21144,29.93889,-87.32419,87.29982,0.75538,53.79375,46.20625,72.99223,27.00777,41.07877,36.61365,19.03369,27.96885,27.48370,75.06409,6.77385,37.46223,111.38461,3.36925,51.01492,0.34357,2.82521,0.36664,2.89577,12.73813,121.30191,-5.17355,-46.55239,105.83002,3.51282,95.89464,19.47405,3.79932,136.17742,25.47707,5.43155,230.42727,1.63636,48.52686,11.11340,10.50118,-4.12504,1
15.57140,9.63350,19.11592,37.30105,8.16384,7.79134,50.22586,49.77414,44.41758,55.58242,31.01991,63.83447,11.44909,5.33174,67.03140,105.00816,5.93790,25.31983,67.17203,11.37905,31.08339,0.87710,8.02108,1.05316,23.52573,3.72872,81.28896,0.54716,14.23122,83.81980,0.35956,109.38255,8.10530,4.06546,93.67620,51.39468,1.98927,95.80952,3.07937,50.07607,3.84481,4.58700,0.38263,0
